user_id,activity_date,feature_used,genre,time_spent_minutes
51,2024-08-21,Rate,,9
236,2024-08-08,Rate,,8
385,2024-12-10,Browse,,4
353,2025-04-29,Rate,,1
1,2024-07-20,Browse,,6
385,2025-06-25,Browse,,6
256,2024-08-20,Browse,,3
255,2025-02-03,Browse,,4
239,2024-10-20,Search,,8
107,2024-12-25,Search,,7
435,2024-10-26,Browse,,4
231,2025-01-23,Search,,5
160,2024-09-17,Browse,,10
487,2024-10-04,Rate,,2
84,2025-04-21,Search,,7
465,2025-02-16,Browse,,2
149,2025-01-12,Search,,7
306,2024-11-27,Search,,1
31,2024-07-26,Watch,Thriller,49
368,2025-02-08,Browse,,4
443,2024-09-19,Browse,,1
69,2025-05-10,Rate,,1
261,2025-01-16,Browse,,4
260,2024-12-20,Rate,,1
481,2025-02-03,Rate,,5
18,2025-04-17,Watch,Romance,115
253,2024-08-19,Browse,,9
295,2025-04-01,Rate,,8
286,2025-01-10,Search,,7
429,2024-09-23,Search,,8
195,2025-05-18,Search,,5
204,2024-09-25,Watch,Drama,47
369,2025-07-01,Search,,2
280,2024-11-29,Watch,Sci-Fi,90
154,2025-01-19,Rate,,10
146,2025-01-13,Watch,Documentary,9
409,2024-11-18,Browse,,2
171,2024-10-26,Browse,,10
7,2025-05-03,Rate,,1
125,2024-12-05,Browse,,7
325,2025-02-20,Search,,8
6,2025-03-17,Rate,,2
10,2024-10-28,Browse,,1
30,2025-01-20,Watch,Horror,108
54,2024-09-07,Browse,,4
226,2024-12-11,Search,,9
454,2024-09-15,Watch,Horror,66
383,2025-06-17,Browse,,1
286,2025-02-23,Browse,,8
296,2025-07-17,Rate,,6
337,2024-07-29,Search,,2
402,2024-11-20,Watch,Documentary,99
440,2024-09-10,Browse,,6
484,2025-03-14,Watch,Action,43
110,2024-08-21,Search,,10
271,2025-01-31,Search,,9
274,2025-05-30,Search,,7
433,2025-05-14,Rate,,1
21,2025-06-14,Rate,,5
435,2025-04-03,Watch,Action,75
402,2025-05-01,Search,,9
352,2025-01-09,Rate,,6
251,2024-12-12,Watch,Horror,110
96,2025-07-01,Search,,1
352,2025-03-29,Rate,,6
356,2025-02-17,Browse,,8
425,2024-10-18,Rate,,2
195,2025-04-26,Browse,,9
130,2024-08-25,Watch,Romance,111
4,2024-12-16,Watch,Romance,25
85,2024-08-06,Watch,Action,42
206,2025-02-15,Search,,1
216,2025-06-19,Rate,,8
89,2024-09-25,Search,,7
400,2025-04-21,Watch,Sci-Fi,96
43,2025-01-03,Watch,Thriller,114
258,2024-09-01,Search,,10
207,2025-03-24,Search,,9
352,2025-01-15,Watch,Thriller,60
160,2024-09-23,Search,,9
28,2024-08-10,Search,,2
178,2025-01-10,Watch,Thriller,26
381,2025-04-09,Rate,,6
329,2024-10-08,Watch,Horror,64
90,2024-10-02,Search,,6
240,2025-01-05,Search,,7
120,2025-05-18,Rate,,9
55,2025-04-21,Search,,4
9,2025-04-25,Browse,,4
77,2024-10-09,Browse,,3
218,2025-07-11,Watch,Drama,13
326,2025-02-21,Watch,Comedy,118
95,2025-03-28,Search,,1
246,2025-02-28,Search,,9
270,2024-09-27,Watch,Comedy,85
73,2025-06-07,Search,,2
70,2025-07-11,Browse,,4
383,2024-07-28,Rate,,6
484,2024-11-20,Search,,2
31,2024-09-25,Watch,Drama,61
411,2024-09-22,Browse,,6
92,2024-09-15,Watch,Documentary,95
27,2025-02-25,Watch,Comedy,13
312,2025-02-22,Rate,,2
165,2025-07-05,Watch,Documentary,85
64,2025-03-12,Watch,Comedy,112
450,2024-10-08,Browse,,1
341,2025-04-30,Browse,,2
85,2024-12-23,Search,,6
31,2025-06-24,Watch,Comedy,26
464,2024-09-21,Rate,,6
31,2024-08-25,Search,,7
240,2025-04-27,Watch,Romance,77
29,2024-12-29,Rate,,4
286,2025-05-23,Watch,Horror,83
302,2024-11-20,Watch,Sci-Fi,82
489,2025-03-29,Search,,8
467,2025-06-13,Watch,Comedy,9
142,2025-03-01,Browse,,2
156,2024-08-15,Watch,Sci-Fi,53
361,2025-03-22,Watch,Horror,45
385,2024-11-11,Rate,,2
22,2024-10-16,Browse,,9
117,2025-02-16,Browse,,9
371,2025-02-15,Search,,6
477,2024-09-10,Watch,Thriller,64
172,2024-10-16,Search,,7
382,2025-06-30,Search,,5
473,2024-09-19,Rate,,10
317,2024-11-20,Watch,Documentary,28
392,2025-03-27,Search,,4
482,2024-12-05,Browse,,8
173,2025-04-15,Watch,Comedy,119
248,2024-10-19,Search,,6
375,2025-05-19,Rate,,4
471,2025-02-26,Rate,,5
432,2025-06-14,Watch,Documentary,72
482,2025-06-29,Browse,,9
283,2025-02-11,Watch,Comedy,74
191,2024-10-03,Browse,,8
244,2024-11-18,Watch,Horror,7
227,2025-02-17,Rate,,6
242,2025-07-16,Rate,,7
466,2024-11-13,Search,,8
37,2024-10-28,Watch,Action,18
485,2024-12-26,Watch,Sci-Fi,27
399,2024-09-02,Watch,Romance,7
243,2025-01-22,Search,,6
120,2025-04-24,Rate,,9
74,2025-03-24,Watch,Documentary,84
425,2025-01-12,Rate,,9
11,2025-04-29,Watch,Horror,115
334,2025-05-01,Rate,,2
471,2025-06-24,Rate,,10
1,2025-01-24,Watch,Documentary,36
134,2024-10-09,Rate,,6
162,2024-09-17,Watch,Horror,43
495,2025-05-26,Watch,Sci-Fi,43
475,2024-12-16,Browse,,4
391,2024-11-06,Browse,,5
211,2024-10-20,Search,,7
205,2025-07-17,Search,,7
395,2024-07-24,Search,,10
458,2025-02-23,Browse,,2
300,2024-11-23,Watch,Romance,73
451,2024-10-26,Search,,4
144,2025-06-18,Browse,,2
164,2024-10-23,Browse,,3
294,2025-02-26,Search,,8
237,2025-05-27,Rate,,8
46,2025-05-13,Search,,6
274,2025-01-26,Rate,,2
470,2025-03-11,Rate,,1
30,2025-04-20,Watch,Romance,18
60,2025-04-24,Search,,8
257,2024-08-31,Rate,,2
411,2024-09-25,Rate,,10
403,2025-06-28,Rate,,9
329,2025-01-06,Search,,10
438,2025-03-08,Search,,1
295,2025-06-02,Watch,Horror,65
73,2025-06-11,Browse,,9
153,2025-06-16,Watch,Drama,82
329,2025-02-28,Watch,Action,28
325,2025-01-03,Browse,,1
300,2024-07-18,Browse,,7
361,2024-09-27,Rate,,7
2,2025-02-23,Browse,,1
214,2024-09-22,Watch,Thriller,109
187,2025-01-03,Browse,,3
442,2024-08-13,Rate,,4
236,2024-09-17,Browse,,1
227,2024-08-07,Watch,Sci-Fi,118
59,2024-11-22,Watch,Thriller,39
421,2024-10-20,Watch,Action,91
398,2025-04-01,Watch,Horror,62
70,2025-07-01,Search,,8
292,2025-03-05,Rate,,4
17,2025-01-14,Watch,Documentary,120
115,2025-05-08,Search,,1
60,2025-02-06,Search,,6
64,2025-07-05,Rate,,5
230,2025-01-26,Watch,Sci-Fi,72
191,2025-04-22,Browse,,1
88,2024-08-29,Search,,2
128,2024-10-08,Rate,,5
364,2025-01-23,Browse,,8
62,2025-04-17,Browse,,7
184,2025-06-29,Watch,Romance,110
243,2025-05-30,Watch,Documentary,99
363,2024-11-20,Watch,Drama,66
132,2024-09-08,Search,,9
77,2025-02-27,Rate,,9
75,2025-02-18,Watch,Comedy,23
18,2025-07-07,Search,,2
467,2025-02-03,Browse,,3
208,2024-10-19,Search,,1
248,2024-09-05,Rate,,8
294,2024-09-12,Browse,,8
161,2024-07-27,Rate,,2
374,2025-05-28,Rate,,10
403,2025-04-05,Rate,,3
189,2025-05-05,Watch,Drama,60
435,2024-08-24,Rate,,4
217,2024-09-07,Browse,,9
230,2025-05-21,Browse,,10
357,2024-12-05,Search,,4
62,2024-12-18,Browse,,2
57,2025-04-26,Watch,Comedy,108
253,2025-05-20,Search,,2
117,2025-04-24,Browse,,8
37,2025-06-17,Watch,Romance,93
395,2024-08-07,Rate,,7
369,2025-02-14,Watch,Horror,57
185,2024-09-28,Watch,Romance,107
239,2024-09-22,Rate,,1
216,2024-07-31,Watch,Horror,14
68,2025-06-25,Browse,,6
353,2024-08-03,Watch,Horror,49
277,2024-10-28,Browse,,10
101,2025-05-08,Watch,Horror,73
82,2025-02-17,Rate,,5
487,2025-01-22,Watch,Romance,39
477,2025-03-09,Browse,,5
107,2025-05-27,Browse,,1
94,2025-07-16,Browse,,6
304,2025-04-09,Watch,Drama,70
234,2025-06-25,Rate,,2
251,2025-01-13,Browse,,7
194,2025-02-03,Search,,6
251,2025-01-28,Watch,Romance,111
380,2025-01-29,Watch,Action,102
267,2025-06-17,Search,,3
32,2025-02-22,Watch,Horror,98
105,2025-01-03,Rate,,6
455,2024-11-29,Browse,,4
228,2025-04-08,Watch,Comedy,20
68,2024-10-06,Rate,,10
300,2025-04-12,Search,,9
312,2025-04-30,Rate,,3
69,2025-04-23,Browse,,10
472,2025-04-16,Rate,,7
47,2025-06-23,Search,,5
418,2024-12-08,Rate,,8
330,2025-04-02,Rate,,1
50,2025-02-01,Search,,2
12,2024-12-02,Rate,,3
134,2024-09-26,Browse,,4
41,2024-10-16,Watch,Documentary,101
253,2025-03-21,Watch,Thriller,103
200,2025-02-09,Browse,,3
93,2024-12-17,Rate,,2
355,2025-07-10,Watch,Action,72
134,2024-08-09,Rate,,7
431,2025-05-23,Rate,,6
440,2025-06-07,Rate,,6
278,2025-07-10,Browse,,1
146,2025-05-04,Search,,10
43,2025-05-19,Watch,Romance,110
227,2025-05-28,Browse,,10
482,2025-05-11,Rate,,4
218,2024-08-01,Browse,,6
213,2024-10-03,Rate,,2
82,2024-07-23,Watch,Thriller,43
312,2024-11-02,Rate,,7
328,2024-11-11,Browse,,2
165,2024-10-16,Browse,,8
425,2025-07-10,Search,,2
348,2024-12-14,Search,,2
357,2025-03-24,Watch,Romance,79
194,2024-08-17,Search,,10
447,2025-05-29,Watch,Thriller,105
410,2025-02-24,Search,,10
232,2025-06-14,Rate,,8
372,2025-05-21,Search,,3
397,2025-02-24,Watch,Horror,108
489,2024-11-18,Watch,Comedy,32
485,2024-08-28,Browse,,1
417,2025-01-11,Search,,4
209,2024-08-11,Rate,,9
385,2024-11-28,Browse,,10
148,2025-06-06,Search,,8
287,2025-06-20,Search,,7
244,2024-09-18,Rate,,5
152,2024-10-06,Rate,,4
87,2025-06-20,Browse,,6
232,2025-04-25,Watch,Documentary,114
188,2025-02-23,Browse,,10
390,2025-06-30,Rate,,9
130,2025-07-12,Rate,,3
234,2025-06-18,Rate,,1
134,2024-08-22,Watch,Thriller,120
279,2024-07-25,Watch,Horror,68
57,2025-05-15,Rate,,2
198,2024-09-12,Browse,,5
159,2025-03-23,Search,,9
97,2025-02-26,Rate,,4
482,2024-09-20,Search,,5
253,2025-05-15,Watch,Drama,44
86,2025-07-11,Browse,,6
482,2025-04-26,Browse,,8
487,2025-07-17,Watch,Thriller,11
19,2025-03-01,Rate,,4
493,2025-05-03,Watch,Action,76
22,2024-11-29,Watch,Action,106
288,2025-03-31,Search,,5
73,2024-07-26,Search,,10
325,2024-08-21,Rate,,8
201,2024-11-11,Rate,,6
102,2024-10-02,Search,,10
291,2025-01-18,Search,,10
52,2024-11-01,Rate,,6
311,2025-03-27,Watch,Documentary,69
272,2025-06-19,Browse,,2
299,2025-04-28,Browse,,9
94,2025-01-31,Browse,,7
423,2024-09-29,Browse,,2
35,2024-08-08,Watch,Romance,97
139,2025-03-11,Rate,,8
24,2025-06-01,Watch,Action,18
385,2024-10-01,Rate,,10
110,2025-07-06,Browse,,8
123,2024-07-18,Watch,Drama,102
354,2025-02-25,Rate,,4
256,2024-12-25,Watch,Horror,26
37,2025-01-15,Browse,,1
288,2024-08-18,Search,,3
202,2024-10-06,Watch,Action,36
158,2025-04-09,Watch,Documentary,41
200,2025-03-04,Browse,,10
260,2025-01-27,Browse,,10
11,2024-08-22,Watch,Horror,49
499,2025-03-10,Search,,5
32,2024-08-30,Watch,Comedy,63
188,2024-09-11,Browse,,1
150,2024-12-18,Search,,6
231,2024-08-04,Watch,Sci-Fi,16
78,2025-03-19,Rate,,8
13,2024-09-13,Watch,Documentary,35
100,2025-04-27,Rate,,10
475,2024-09-13,Search,,9
123,2024-08-30,Search,,10
64,2024-10-05,Search,,4
258,2024-09-16,Watch,Comedy,88
284,2024-08-31,Rate,,5
457,2025-06-18,Watch,Drama,105
254,2025-04-09,Browse,,4
386,2025-07-10,Search,,7
85,2025-04-15,Browse,,4
86,2025-01-11,Search,,8
197,2024-12-23,Watch,Romance,45
194,2025-01-14,Rate,,3
304,2025-05-05,Browse,,5
464,2025-03-30,Search,,5
420,2024-09-09,Rate,,3
440,2024-08-06,Search,,3
463,2024-08-30,Rate,,5
478,2025-03-09,Rate,,3
257,2025-05-12,Search,,4
113,2025-05-02,Browse,,4
82,2025-04-04,Rate,,1
396,2024-08-20,Search,,3
70,2024-08-31,Search,,8
170,2024-08-29,Rate,,2
256,2024-12-12,Browse,,9
110,2024-12-20,Browse,,5
344,2024-08-26,Watch,Horror,33
13,2024-09-05,Watch,Comedy,96
381,2025-07-06,Search,,5
375,2024-09-25,Search,,5
57,2024-08-02,Search,,10
224,2024-09-01,Search,,6
416,2025-03-13,Rate,,6
83,2025-04-23,Search,,9
357,2024-07-29,Search,,3
16,2025-01-06,Search,,10
251,2024-09-07,Browse,,10
281,2025-04-23,Watch,Drama,110
404,2024-11-27,Search,,10
119,2025-03-30,Rate,,8
225,2025-05-01,Browse,,2
142,2025-07-11,Browse,,6
139,2025-02-07,Browse,,5
140,2025-05-08,Browse,,3
402,2025-01-02,Rate,,4
251,2025-07-14,Search,,7
288,2024-10-21,Search,,3
406,2024-10-01,Search,,4
500,2025-07-11,Browse,,9
110,2025-03-15,Search,,8
345,2025-05-03,Browse,,6
354,2025-04-26,Rate,,4
253,2024-10-08,Browse,,2
119,2024-07-31,Search,,2
55,2024-11-08,Rate,,6
111,2025-02-24,Watch,Thriller,115
470,2024-09-29,Rate,,5
178,2024-12-31,Rate,,10
194,2024-12-11,Rate,,6
430,2024-11-24,Rate,,1
182,2024-10-05,Rate,,2
421,2025-02-10,Rate,,2
186,2024-07-22,Watch,Romance,34
405,2025-03-30,Search,,4
188,2024-09-24,Rate,,3
396,2025-01-09,Browse,,6
9,2025-03-26,Watch,Romance,47
391,2025-06-22,Browse,,2
390,2025-04-01,Watch,Romance,98
134,2025-05-28,Watch,Comedy,119
120,2024-11-11,Rate,,4
421,2025-05-14,Search,,1
479,2025-02-04,Search,,3
17,2024-08-26,Watch,Horror,34
494,2024-09-13,Search,,3
323,2025-05-09,Rate,,1
493,2025-05-17,Rate,,9
202,2024-11-03,Rate,,7
118,2024-09-23,Watch,Horror,7
320,2024-08-25,Rate,,5
279,2024-08-20,Rate,,4
473,2024-11-04,Rate,,6
489,2024-07-25,Rate,,9
485,2025-05-19,Watch,Thriller,84
292,2025-02-18,Browse,,10
401,2025-04-08,Watch,Comedy,7
66,2024-12-17,Browse,,10
333,2025-03-16,Search,,9
441,2025-02-05,Search,,6
8,2024-09-09,Search,,3
479,2025-07-10,Rate,,6
98,2024-11-24,Search,,10
369,2025-06-15,Rate,,10
149,2024-07-20,Rate,,4
447,2025-02-25,Search,,1
357,2025-04-01,Watch,Romance,97
481,2024-11-20,Watch,Action,112
166,2024-09-07,Search,,4
88,2024-09-13,Search,,10
354,2025-03-05,Rate,,10
37,2024-11-05,Watch,Action,53
159,2024-12-09,Watch,Comedy,48
48,2024-09-05,Rate,,5
425,2024-07-23,Browse,,7
409,2025-06-08,Browse,,10
448,2025-06-01,Search,,4
319,2025-03-03,Rate,,6
475,2024-09-30,Rate,,9
78,2025-04-15,Rate,,10
10,2025-06-10,Watch,Drama,5
145,2024-12-06,Rate,,1
102,2024-11-29,Search,,3
214,2025-04-23,Watch,Drama,110
271,2024-12-11,Browse,,4
468,2025-06-08,Watch,Romance,93
137,2025-05-20,Rate,,4
61,2024-08-11,Watch,Documentary,32
288,2025-05-27,Search,,2
391,2025-05-01,Search,,10
361,2025-04-28,Watch,Sci-Fi,116
450,2025-03-28,Browse,,3
258,2024-07-17,Search,,4
378,2025-05-25,Rate,,2
221,2025-07-13,Watch,Comedy,7
340,2024-10-08,Rate,,3
383,2025-04-20,Search,,9
88,2025-04-02,Watch,Thriller,113
383,2025-02-22,Watch,Drama,17
496,2025-03-05,Browse,,2
3,2024-11-28,Rate,,1
436,2024-09-04,Rate,,9
155,2025-05-15,Rate,,1
145,2025-04-12,Search,,1
298,2025-02-28,Rate,,8
427,2025-01-25,Rate,,7
344,2025-06-01,Search,,2
498,2024-07-23,Watch,Drama,82
489,2025-05-14,Browse,,6
103,2024-08-23,Watch,Sci-Fi,22
69,2024-10-13,Search,,7
168,2025-01-09,Search,,3
243,2024-09-01,Watch,Sci-Fi,118
442,2024-09-10,Rate,,3
330,2024-10-31,Browse,,1
247,2024-09-29,Rate,,3
101,2024-12-28,Search,,3
500,2025-07-15,Rate,,6
21,2024-12-03,Browse,,5
419,2025-02-15,Browse,,9
114,2024-11-20,Watch,Horror,104
407,2025-02-11,Browse,,10
450,2024-12-06,Search,,7
5,2024-12-14,Watch,Action,15
224,2024-11-13,Rate,,7
115,2025-05-09,Watch,Horror,30
239,2025-07-10,Search,,3
431,2024-09-05,Browse,,8
191,2024-10-07,Browse,,9
124,2025-06-10,Rate,,4
308,2024-07-27,Watch,Horror,110
17,2024-10-25,Watch,Romance,105
263,2025-07-17,Watch,Drama,23
292,2024-08-15,Browse,,8
285,2025-06-26,Search,,3
345,2025-05-01,Search,,4
347,2025-05-15,Browse,,9
220,2024-09-15,Search,,4
141,2024-07-26,Search,,3
117,2024-09-09,Browse,,3
74,2025-01-20,Rate,,5
39,2025-07-13,Watch,Comedy,38
326,2024-08-06,Browse,,3
99,2024-12-28,Watch,Documentary,53
422,2024-09-02,Rate,,6
387,2024-12-04,Rate,,8
216,2025-03-12,Watch,Action,18
324,2024-09-17,Search,,6
64,2025-01-19,Rate,,5
122,2024-10-14,Browse,,3
64,2025-02-18,Watch,Sci-Fi,35
316,2025-01-25,Search,,10
14,2024-11-01,Search,,2
223,2024-08-09,Rate,,5
200,2024-09-19,Rate,,9
6,2025-03-06,Search,,7
341,2025-03-14,Rate,,5
381,2024-08-09,Browse,,2
323,2025-01-05,Watch,Horror,110
453,2025-04-22,Rate,,7
59,2025-04-23,Search,,5
252,2024-08-19,Rate,,9
167,2024-12-31,Rate,,7
218,2024-12-29,Browse,,7
289,2025-06-16,Search,,7
189,2025-03-03,Watch,Thriller,75
489,2024-07-25,Search,,8
431,2024-12-24,Rate,,5
211,2024-10-13,Browse,,9
94,2024-09-05,Browse,,5
412,2024-09-04,Browse,,8
195,2025-06-15,Search,,5
151,2024-11-03,Rate,,9
88,2025-02-08,Watch,Drama,18
99,2025-03-26,Rate,,7
262,2025-07-01,Search,,6
475,2024-08-27,Search,,9
40,2024-11-26,Search,,8
67,2024-11-18,Browse,,3
450,2024-10-26,Watch,Sci-Fi,58
383,2025-06-17,Browse,,4
489,2024-09-16,Browse,,3
35,2025-06-03,Rate,,1
173,2025-06-23,Rate,,3
194,2025-04-08,Rate,,8
294,2025-03-19,Search,,1
414,2025-03-23,Watch,Thriller,97
383,2024-07-19,Watch,Romance,9
138,2024-10-11,Search,,4
25,2025-04-15,Rate,,8
290,2025-04-18,Watch,Drama,86
48,2025-06-18,Search,,2
431,2024-11-04,Browse,,4
93,2024-07-29,Search,,9
279,2024-10-21,Browse,,1
439,2024-08-08,Browse,,6
174,2024-09-03,Watch,Action,111
83,2024-07-23,Rate,,2
286,2025-03-13,Watch,Drama,54
103,2024-12-05,Watch,Documentary,41
142,2025-07-04,Watch,Action,54
231,2025-07-03,Rate,,5
362,2024-12-21,Rate,,3
326,2025-01-25,Watch,Action,46
33,2025-02-21,Rate,,6
44,2025-07-07,Search,,7
164,2025-05-11,Browse,,8
431,2025-03-22,Search,,8
20,2025-01-08,Browse,,3
402,2024-12-07,Watch,Sci-Fi,20
187,2024-12-28,Search,,4
285,2025-06-28,Rate,,8
483,2025-05-18,Rate,,1
393,2024-11-13,Watch,Drama,77
272,2025-03-15,Browse,,5
468,2024-08-11,Browse,,1
209,2024-12-08,Search,,6
321,2025-01-04,Rate,,7
123,2025-03-03,Search,,9
442,2025-04-05,Watch,Thriller,29
455,2025-05-15,Browse,,5
485,2024-11-29,Search,,4
221,2024-12-08,Watch,Action,24
3,2024-11-04,Search,,8
212,2024-12-29,Watch,Thriller,86
412,2025-06-09,Watch,Horror,9
229,2024-09-21,Search,,8
122,2024-10-20,Rate,,7
424,2024-10-22,Watch,Romance,16
223,2025-01-19,Rate,,7
9,2025-06-08,Rate,,10
8,2024-08-27,Browse,,7
330,2024-09-08,Rate,,1
23,2025-06-06,Browse,,6
303,2025-05-27,Search,,2
299,2024-10-22,Browse,,10
97,2025-01-12,Browse,,5
314,2025-01-01,Watch,Action,15
187,2024-07-18,Watch,Thriller,106
287,2024-08-28,Rate,,10
358,2024-08-03,Search,,7
